,Uid,Elevation_m
558,-157.04770_21.10623,7.0
559,-157.02962_21.09637,6.0
560,-157.04635_21.10278,7.0
561,-157.04608_21.10267,7.0
562,-157.04583_21.10256,7.0
563,-157.04557_21.10244,7.4832702
564,-157.04597_21.10339,7.0
565,-157.04570_21.10329,7.0
566,-157.04545_21.10318,7.0
567,-157.04518_21.10306,7.0
568,-157.04488_21.10293,7.0
569,-157.04464_21.10283,7.0
570,-157.04413_21.10261,7.9910798
571,-157.04383_21.10248,7.4531898
572,-157.04358_21.10238,7.51998
573,-157.04332_21.10227,7.0464501
574,-157.04308_21.10216,7.0
575,-157.03017_21.09661,6.0
576,-157.02930_21.09873,31.0172997
577,-157.04001_21.10254,8.7907
578,-157.04677_21.10579,7.0
579,-157.04750_21.10254,7.0
580,-157.04660_21.10606,7.0
581,-157.04645_21.10637,8.3345098
582,-157.04719_21.10118,7.0
583,-157.04016_21.09616,8.6116896
584,-157.03982_21.09696,6.1596498
585,-157.04010_21.09697,6.7653198
586,-157.04035_21.09707,6.3682199
587,-157.04063_21.09715,7.0
588,-157.04093_21.09725,6.97928
589,-157.04188_21.09765,6.9830799
590,-157.04052_21.09612,7.7148399
591,-157.03809_21.09753,5.0
592,-157.03582_21.10003,16.8045006
593,-157.03526_21.09955,15.6589003
594,-157.00020_21.08451,40.855999
595,-156.99968_21.08148,12.8994999
596,-156.99986_21.08156,13.6995001
597,-157.00027_21.08333,31.5359993
598,-156.99951_21.08204,20.9860992
599,-157.00076_21.08209,17.5209007
600,-156.99868_21.08279,30.2504997
601,-156.99990_21.08364,34.9846992
602,-156.99902_21.08221,21.8404999
603,-156.99990_21.08390,38.7366982
604,-156.99847_21.08307,33.3605995
605,-157.00151_21.08258,23.6991005
606,-157.00160_21.08241,21.6166992
607,-157.00140_21.08227,19.8395996
608,-157.00167_21.08206,15.5309
609,-157.00152_21.08197,14.9159002
610,-157.00115_21.08197,16.3784008
611,-157.05291_21.11069,22.5837002
612,-157.05337_21.13140,136.3739929
613,-157.05361_21.12899,121.5739975
614,-157.01722_21.15426,406.1629944
615,-157.01594_21.15427,412.5870056
616,-157.01490_21.15391,409.1740112
617,-157.01373_21.15409,416.5929871
618,-157.03017_21.17766,355.8389893
619,-157.01318_21.14995,358.0620117
620,-157.05153_21.10787,7.0
621,-157.08379_21.10696,10.0
622,-156.94407_21.06611,13.0649996
623,-156.95134_21.06563,20.0
624,-156.95038_21.06695,20.0
625,-156.94530_21.06399,13.1267996
626,-156.99674_21.07877,11.0538998
627,-157.03532_21.10127,21.9990997
628,-157.03601_21.09966,14.0655003
629,-157.01803_21.16028,410.7210083
630,-157.01516_21.15509,427.4859924
631,-157.01420_21.15524,429.7919922
632,-157.01370_21.15546,432.0429993
633,-157.01332_21.15578,437.2319946
634,-157.02095_21.16035,376.3919983
635,-157.01953_21.16052,394.0109863
636,-157.01181_21.16460,405.7929993
637,-157.05674_21.16611,220.0
638,-157.00672_21.16418,447.0750122
639,-157.00980_21.15840,426.9819946
640,-157.05498_21.16531,223.8809967
641,-157.05597_21.16574,220.0
642,-157.05613_21.16715,222.0070038
643,-157.05181_21.16436,238.0070038
644,-157.05167_21.16492,238.5299988
645,-157.05153_21.16549,238.3410034
646,-157.05146_21.16577,238.9819946
647,-157.05123_21.16661,240.1799927
648,-157.05105_21.16696,241.0540009
649,-157.05113_21.16732,239.3939972
650,-156.96368_21.06961,20.0
651,-156.99968_21.08112,11.0600004
652,-156.99468_21.07822,16.7740993
653,-156.99405_21.07814,17.8355007
654,-157.05592_21.16802,219.9960022
655,-157.05570_21.16889,230.5410004
656,-157.05542_21.16998,239.6999969
657,-157.05568_21.17138,245.0119934
658,-157.05483_21.17087,245.8760071
659,-157.05309_21.16934,229.1569977
660,-157.05360_21.16853,231.9559937
661,-157.05397_21.16705,231.0039978
662,-157.05416_21.16629,228.3809967
663,-157.05784_21.16642,220.0579987
664,-157.05865_21.16660,218.0050049
